127.0,2
205.0,3
226.0,5
214.0,5
198.0,7
250.0,9
409.0,12
486.0,14
511.0,19
570.0,21
588.0,29
414.0,33
465.0,53
664.0,65
733.0,81
750.0,105
729.0,120
775.0,144
653.0,166
631.0,192
1000.0,214
993.0,239
1154.0,275
1034.0,300
1061.0,332
903.0,365
877.0,398
1280.0,431
1302.0,464
1277.0,495
1359.0,526
1495.0,569
1306.0,608
1262.0,643
1856.0,683
1765.0,719
1972.0,764
2432.0,800
2097.0,854
1643.0,892
1509.0,943
2308.0,978
2537.0,1034
2392.0,1078
2557.0,1118
2466.0,1157
2092.0,1206
1856.0,1251
2545.0,1299
2601.0,1357
2512.0,1401
2532.0,1450
2514.0,1494
2167.0,1547
1992.0,1585
2768.0,1623
2737.0,1669
2714.0,1714
2665.0,1759
2887.0,1808
2453.0,1836
2300.0,1877
2966.0,1910
2927.0,1937
2830.0,1966
2910.0,2000
2854.0,2036
2483.0,2066
2463.0,2093
2447.0,2116
2971.0,2139
2845.0,2165
2781.0,2187
2721.0,2207
2519.0,2228
2410.0,2250
2570.0,2271
2592.0,2296
2650.0,2316
2682.0,2331
2729.0,2348
2576.0,2368
2530.0,2388
2717.0,2403
2717.0,2426
2703.0,2438
2679.0,2448
2744.0,2469
2633.0,2487
2618.0,2499
2786.0,2519
2765.0,2530
2800.0,2551
2779.0,2565
2838.0,2580
2735.0,2590
2667.0,2601
2858.0,2610
2880.0,2618
2901.0,2627
2910.0,2638
2902.0,2651
2801.0,2656
2798.0,2661
2979.0,2668
2965.0,2671
2975.0,2684
2971.0,2690
2900.0,2695
2780.0,2700
2809.0,2703
3022.0,2708
3080.0,2712
3053.0,2716
3041.0,2724
3105.0,2730
2905.0,2732
2850.0,2736
3110.0,2739
3089.0,2742
3041.0,2749
3076.0,2751
3106.0,2754
2908.0,2758
2883.0,2760
3181.0,2765
3093.0,2766
3171.0,2770
3125.0,2773
3149.0,2776
2962.0,2784
2904.0,2790
3174.0,2791
3145.0,2794
3262.0,2797
3159.0,2800
3218.0,2802
2971.0,2807
2928.0,2810
3272.0,2813
3217.0,2815
3217.0,2819
3194.0,2823
3268.0,2825
3021.0,2828
2963.0,2830
3237.0,2831
3246.0,2835
3302.0,2837
3258.0,2841
3217.0,2844
3092.0,2849
2992.0,2852
3376.0,2855
3294.0,2856
3367.0,2861
3309.0,2864
3322.0,2869
3079.0,2871
3028.0,2872
3458.0,2875
3324.0,2879
3307.0,2882
3294.0,2884
3296.0,2888
3153.0,2892
3019.0,2897
3343.0,2899
3253.0,2902
3333.0,2905
3272.0,2908
3332.0,2910
3139.0,2913
3070.0,2915
3009.0,2916
3304.0,2917
3344.0,2922
3272.0,2924
3292.0,2929
3076.0,2929
3084.0,2932
3385.0,2935
3314.0,2936
3339.0,2940
3361.0,2940
3332.0,2944
3138.0,2946
3079.0,2952
3403.0,2954
3340.0,2956
3385.0,2962
3401.0,2967
3389.0,2970
3230.0,2974
3178.0,2975
3432.0,2977
3395.0,2983
3480.0,2985
