60609,52.0,3,61495
60657,35.0,0,70052
60653,47.0,3,31972
60625,62.0,3,79243
60613,52.0,1,50113
60602,0.0,0,1244
60651,77.0,7,63218
60629,93.0,7,111850
60611,16.0,0,32426
60617,101.0,10,82534
60620,136.0,15,68096
60639,89.0,2,90517
60610,18.0,0,39019
60619,112.0,10,61258
60647,41.0,1,87509
60633,7.0,0,12871
60636,77.0,9,32203
60628,119.0,8,66724
60632,56.0,2,91039
60618,63.0,0,94395
60656,22.0,2,27579
60643,102.0,3,49870
60645,108.0,2,47732
60649,69.0,10,46024
60646,16.0,2,27987
60655,44.0,1,28804
60624,91.0,3,36158
60637,57.0,2,47454
60707,15.0,1,43019
60621,54.0,4,29042
60640,44.0,3,69715
60603,0.0,0,1174
60616,52.0,4,54464
60605,13.0,0,27519
60660,28.0,1,43242
60661,3.0,0,9926
60608,76.0,1,79205
60612,54.0,4,34311
60641,50.0,2,71023
60644,89.0,7,47712
60827,4.0,1,28577
60614,43.0,1,71308
60666,0.0,0,0
60652,62.0,3,43907
60607,34.0,0,29591
60606,1.0,0,3101
60622,34.0,1,52793
60630,45.0,2,57344
60638,50.0,1,58797
60604,0.0,0,782
60601,5.0,0,14675
60623,104.0,9,85979
60642,11.0,0,20201
60626,43.0,2,49730
60631,24.0,1,29529
60615,42.0,4,41563
60634,78.0,4,75995
60654,12.0,0,19135
60659,64.0,4,41068
