60612,79.0,11,34311
60620,186.0,44,68096
60638,157.0,7,58797
60631,28.0,2,29529
60625,170.0,25,79243
60649,192.0,50,46024
60629,431.0,25,111850
60609,218.0,18,61495
60653,49.0,19,31972
60641,187.0,15,71023
60643,145.0,23,49870
60640,149.0,27,69715
60618,157.0,12,94395
60621,58.0,13,29042
60827,11.0,3,28577
60628,233.0,40,66724
60624,86.0,15,36158
60632,452.0,16,91039
60636,81.0,29,32203
60617,98.0,24,82534
60614,67.0,32,71308
60642,31.0,1,20201
60611,8.0,1,32426
60656,28.0,4,27579
60647,220.0,17,87509
60630,109.0,14,57344
60633,18.0,0,12871
60639,422.0,32,90517
60619,119.0,32,61258
60657,28.0,10,70052
60610,22.0,3,39019
60659,88.0,22,41068
60602,0.0,0,1244
60613,38.0,11,50113
60660,43.0,18,43242
60707,54.0,3,43019
60622,63.0,22,52793
60623,462.0,38,85979
60606,2.0,0,3101
60651,201.0,29,63218
60645,111.0,28,47732
60603,0.0,0,1174
60646,105.0,5,27987
60626,201.0,27,49730
60655,29.0,6,28804
60644,219.0,29,47712
60608,194.0,17,79205
60666,0.0,0,0
60607,19.0,2,29591
60652,99.0,9,43907
60637,73.0,13,47454
60605,25.0,0,27519
60616,39.0,21,54464
60601,7.0,2,14675
60661,4.0,0,9926
60604,2.0,0,782
60615,45.0,7,41563
60634,179.0,18,75995
60654,7.0,0,19135
