203.0,3
225.0,5
212.0,5
194.0,7
245.0,9
402.0,12
483.0,14
510.0,19
565.0,21
587.0,29
413.0,33
465.0,53
662.0,65
732.0,81
748.0,105
727.0,120
770.0,144
652.0,166
631.0,192
997.0,214
989.0,239
1152.0,275
1025.0,300
1058.0,332
904.0,365
875.0,398
1278.0,431
1296.0,464
1276.0,495
1356.0,526
1492.0,569
1304.0,608
1260.0,643
1854.0,683
1765.0,719
1966.0,764
2435.0,800
2096.0,854
1641.0,892
1506.0,943
2305.0,978
2532.0,1034
2388.0,1078
2557.0,1118
2466.0,1157
2089.0,1206
1855.0,1251
2546.0,1299
2604.0,1357
2506.0,1401
2529.0,1450
2514.0,1494
2164.0,1547
1992.0,1585
2768.0,1623
2735.0,1669
2713.0,1714
2667.0,1759
2888.0,1808
2452.0,1836
2301.0,1878
2969.0,1911
2928.0,1938
2832.0,1967
2910.0,2001
2853.0,2037
2485.0,2067
2465.0,2094
2447.0,2117
2972.0,2140
2846.0,2166
2782.0,2188
2718.0,2208
2522.0,2229
2411.0,2251
2569.0,2272
2591.0,2297
2648.0,2318
2683.0,2333
2731.0,2350
2578.0,2370
2532.0,2390
2722.0,2405
2720.0,2428
2702.0,2440
2681.0,2450
2743.0,2471
2632.0,2489
2620.0,2501
2787.0,2521
2765.0,2532
2801.0,2553
2780.0,2567
2839.0,2582
2738.0,2592
2667.0,2603
2861.0,2612
2880.0,2620
2899.0,2629
